"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"92";"~";"~";"~";"<E>";"-";"brancher";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"que Max ait accepté a branché Luc"
"93";"-";"+";"+";"<E>";"-";"braquer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"Que Max soit parti a braqué Luc contre lui"
"94";"+";"+";"+";"<E>";"-";"brider";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que cette mesure soit prise bride Max"
"95";"+";"+";"+";"<E>";"-";"brimer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que cette loi ait été votée brime Max"
"96";"+";"+";"+";"<E>";"-";"briser";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max soit parti a brisé Ida"
"97";"+";"+";"+";"<E>";"-";"broyer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max ait été tué a broyé Luc"
"98";"+";"+";"+";"<E>";"-";"brusquer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"Que Max soit parti a brusqué Luc"
"99";"-";"+";"+";"<E>";"-";"buter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Que Max ait été choisi a buté Luc contre son chef"
"100";"-";"+";"+";"<E>";"-";"cabrer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"Qu'il soit parti a cabré Luc contre Max"
"101";"+";"+";"+";"<E>";"-";"calmer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'Ida soit venue a calmé Luc"
"102";"-";"+";"+";"<E>";"-";"captiver";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Qu'il ait fait ce travail captive Max"
"103";"+";"+";"+";"<E>";"-";"casser";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'Ida parte a cassé le moral de Luc"
"104";"-";"+";"+";"<E>";"-";"catastropher";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Qu'Ida soit partie a catastrophé Luc"
"105";"~";"~";"~";"<E>";"-";"cavaler";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Cette histoire me cavale "
"106";"+";"+";"+";"<E>";"-";"chagriner";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Qu'Ida soit partie chagrine Luc"
"107";"-";"+";"+";"<E>";"-";"chambouler";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Que Max soit parti a chamboulé Luc"
"108";"+";"+";"+";"<E>";"-";"charmer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Qu'Ida revienne charme Max"
"109";"+";"+";"+";"<E>";"-";"chatouiller";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max ait dit cela chatouille Luc"
"110";"-";"+";"+";"<E>";"-";"chavirer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Qu'Ida soit partie chavire Max"
"111";"-";"+";"+";"<E>";"-";"chiffonner";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"Que Max soit là chiffonne Luc"
"112";"~";"~";"~";"<E>";"-";"chipoter";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Que Léa soit partie chipote Max"
"113";"-";"+";"+";"<E>";"-";"choquer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"Que Max soit là choque Luc"
"114";"~";"~";"~";"<E>";"-";"choquer";"-";"+";"-";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"La mort de Luc a choqué Max"
"115";"+";"+";"+";"<E>";"-";"cingler";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max ait dit cela a cinglé Luc"
"116";"+";"+";"+";"<E>";"-";"cisailler";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max ait dit cela a cisaillé Luc"
