"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"424";"+";"-";"-";"-";"-";"<E>";"-";"vaticiner";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Bob vaticine à la foule que la fin approche"
"425";"~";"~";"~";"~";"~";"<E>";"-";"ventriloquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ventriloque à Marie qu'il n'a pas de voix"
"426";"+";"-";"-";"-";"-";"<E>";"-";"vocaliser";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max vocalise à Luc qu'il fait beau"
"427";"+";"-";"-";"-";"-";"<E>";"-";"vociférer";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max vocifère à Luc qu'il est mécontent"
"428";"+";"+";"+";"-";"+";"<E>";"-";"voiler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a voilé Ida qu'il avait échoué"
"429";"+";"-";"-";"-";"-";"<E>";"-";"vomir";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida vomit à Luc qu'il est une ordure"
"430";"+";"-";"-";"-";"-";"<E>";"-";"yodler";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Heidi a yodlé à Hans que la soupe était prête"
"431";"+";"-";"-";"-";"-";"<E>";"-";"zézayer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Bob zézaye à Ida que les chaussettes sont sèches"
"432";"+";"-";"-";"-";"-";"<E>";"-";"zozoter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Bob zozote à Ida que les chaussettes sont sèches"

