"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"42";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"-";"-";"  bérêt";"sur";"la";"+";"  oreille";"§a§le bérêt sur l'oreille "
"43";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"le";"-";"-";"  beurre";"et";"le";"-";"  argent du beurre";"§a§le beurre et l'argent du beurre "
"44";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"du";"-";"-";"  beurre";"dans";"les";"-";"  épinards";"§a§du beurre dans les épinards "
"45";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"du";"-";"-";"  bien";"à";"le";"-";"  soleil";"§a§du bien au soleil "
"46";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"six";"-";"-";"  bières";"pour";"le";"-";"  prix d'une";"§a§six bières pour le prix d'une "
"47";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  bobo";"à";"le";"+";"  Npc";"§a§bobo au Npc "
"48";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  bobo";"à";"le";"+";"  Npc";"§a§un bobo au Npc "
"49";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  bobo";"à";"la";"+";"  oreille";"§a§bobo à l'oreille "
"50";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  bobo";"à";"la";"+";"  oreille";"§a§un bobo à l'oreille "
"51";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  boeuf";"sur";"la";"+";"  langue";"§a§un boeuf sur la langue "
"52";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"+";"-";"  bouche";"en";"<E>";"-";"  coeur";"§a§la bouche en coeur "
"53";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"une";"-";"-";"  boule";"à";"le";"+";"  creux de l'estomac";"§a§une boule au creux de l'estomac "
"54";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"une";"-";"-";"  boule";"dans";"la";"+";"  gorge";"§a§une boule dans la gorge "
