"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"211";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"par";"<E>";"<E>";"+";"-";"tirer";"la";"oreille";"-";"-";"§se faire§par tirer l'oreille "
"212";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"+";"-";"toucher";"les";"épaules";"-";"-";"§faire§à toucher les épaules "
"213";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"travailler";"Det";"argent";"-";"-";"§faire§travailler un argent "
"214";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"travailler";"Poss0";"cerveau";"-";"-";"§faire§travailler son cerveau "
"215";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"travailler";"Poss0";"ciboulot";"-";"-";"§faire§travailler son ciboulot "
"216";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"travailler";"Poss0";"matière grise";"-";"-";"§faire§travailler sa matière grise "
"217";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"travailler";"Poss0";"méninges";"-";"-";"§faire§travailler ses méninges "
"218";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"travailler";"Poss0";"nénette";"-";"-";"§faire§travailler sa nénette "
"219";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"trembler";"le";"monde";"-";"-";"§faire§trembler le monde "
"220";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"pour";"<E>";"<E>";"+";"+";"tuer";"jusqu'au";"dernier";"-";"-";"§se faire§pour tuer jusqu'au dernier "
