"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"79";"+";"-";"-";"-";"-";"<E>";"être";"sous";"la";"impression";"de";"+";"-";"+";"+";"-";"+";"-";"-";"-";"§être§sous l'impression de "
"80";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"impression";"de";"+";"-";"+";"+";"-";"+";"-";"-";"-";"§être§sur l'impression de "
"81";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"impuissance";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§dans l'impuissance de "
"82";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"incapacité";"de";"-";"-";"+";"+";"-";"-";"-";"-";"+";"§être§dans l'incapacité de "
"83";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"incapacité physique";"de";"-";"-";"+";"+";"-";"-";"-";"-";"+";"§être§dans l'incapacité physique de "
"84";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"incertitude";"de";"-";"+";"+";"+";"-";"-";"+";"-";"-";"§être§dans l'incertitude de "
"85";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"inquiétude";"de";"-";"+";"+";"+";"-";"-";"+";"-";"-";"§être§dans l'inquiétude de "
"86";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"instance";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en instance de "
"87";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"intention";"de";"+";"+";"+";"+";"-";"+";"-";"-";"-";"§être§dans l'intention de "
"88";"-";"+";"+";"-";"-";"<E>";"être";"sous";"la";"interdiction";"de";"+";"-";"+";"+";"-";"-";"-";"-";"-";"§être§sous l'interdiction de "
"89";"+";"-";"-";"-";"-";"<E>";"être";"<E>";"tout les";"jours";"à";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§tout les jours à "
"90";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"<E>";"là";"à";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§là à "
"91";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"<E>";"là";"pour";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§là pour "
"92";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"lendemain";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§au lendemain de "
"93";"+";"-";"-";"-";"-";"<E>";"être";"à";"cent";"lieues";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à cent lieues de "
"94";"+";"-";"-";"-";"-";"<E>";"être";"à";"des";"lieues";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à des lieues de "
